model,fold_id,uf,onset_week_error,peak_timing_error,peak_magnitude_error,total_cases_error
ensemble_conformal,3,AP,0.0,-1,-0.6949997552952918,-0.3803892078336229
ensemble_conformal,3,BA,0.0,-5,-0.20443773523354056,-0.24415893104849803
ensemble_conformal,3,CE,0.0,0,0.9636482341954751,1.0291464012536056
ensemble_conformal,3,DF,0.0,19,-0.7827593392496325,0.4340051716093155
ensemble_conformal,3,GO,0.0,-5,-0.4997914002600253,-0.38971630494750353
ensemble_conformal,3,MA,-12.0,-2,-0.22001365830528213,-0.02619905430708703
ensemble_conformal,3,MG,6.0,9,-1.0861116894190734,-0.6365567283755907
ensemble_conformal,3,MS,1.0,-1,0.3492929250502743,0.31488177308846654
ensemble_conformal,3,MT,-5.0,5,-1.4391631267803786,-0.7067543943934386
ensemble_conformal,3,PA,-1.0,1,-0.62668718951911,-0.6703087574062351
ensemble_conformal,3,PB,0.0,9,-0.8014980451721495,-0.018084967652018804
ensemble_conformal,3,PE,0.0,-19,-1.331512014927684,-0.5359079098463269
ensemble_conformal,3,PI,5.0,-3,-0.5585246803530881,-0.5473489522271029
ensemble_conformal,3,PR,-8.0,0,-1.0229040972828691,-0.8510139360922606
ensemble_conformal,3,RJ,0.0,5,-1.2730328101823531,-0.5343540564256528
ensemble_conformal,3,RN,0.0,1,-0.12927118627951242,-0.2740715787313091
ensemble_conformal,3,RO,-5.0,-8,-0.821789737710284,-0.007341519326435941
ensemble_conformal,3,RR,0.0,7,-0.7985076962177716,0.0774237997543445
ensemble_conformal,3,RS,-9.0,-2,-1.4552398260914383,-1.11394153949441
ensemble_conformal,3,SC,1.0,-3,-0.016151335585717002,0.2083976253486582
ensemble_conformal,3,SE,0.0,-7,0.03774032798284711,0.6097208851756507
ensemble_conformal,3,SP,0.0,1,-1.6597015621432853,-1.4913261124778003
ensemble_conformal,3,TO,-1.0,-6,-0.003034903695154047,0.4401660304383933
ensemble_conformal,4,AC,0.0,-2,0.8577691602544989,0.7466517530761931
ensemble_conformal,4,AL,0.0,1,0.2659238919230642,0.31514162837905396
ensemble_conformal,4,AM,0.0,19,-0.6824472052688947,0.7937633672254656
ensemble_conformal,4,AP,0.0,-13,-0.32850406697203594,0.7864051684975951
ensemble_conformal,4,BA,9.0,-2,0.40578101397084515,0.43853660239758246
ensemble_conformal,4,CE,-6.0,-6,-0.49211378515547705,0.4005972366161072
ensemble_conformal,4,DF,13.0,8,1.0932407448661987,1.3884803010558786
ensemble_conformal,4,GO,0.0,0,-0.4795794218382119,-0.44193209725967936
ensemble_conformal,4,MA,0.0,-1,-1.259345358449427,-1.1328305101318215
ensemble_conformal,4,MG,11.0,1,1.3823249292254176,1.110558144878739
ensemble_conformal,4,MS,9.0,-2,1.2225061945803934,1.3982163970818593
ensemble_conformal,4,MT,1.0,4,0.6240493667421898,0.5956360897282784
ensemble_conformal,4,PA,0.0,-3,-0.41112626354290255,-0.3066376328833981
ensemble_conformal,4,PB,0.0,-6,-0.07095384988263508,0.5171397890785879
ensemble_conformal,4,PE,0.0,-6,-0.7535915983696659,-0.40776475433371034
ensemble_conformal,4,PI,-3.0,-5,-1.2644590082585592,-0.7669848247452475
ensemble_conformal,4,PR,13.0,1,2.223229850750308,1.7611622583400952
ensemble_conformal,4,RJ,7.0,6,0.8489450539645431,1.1555362372994775
ensemble_conformal,4,RN,0.0,-7,-0.22392231792979736,0.49662901117789576
ensemble_conformal,4,RO,0.0,-3,0.5149804067817018,0.75305898164671
ensemble_conformal,4,RR,0.0,-2,-1.072636802264849,-0.2314129427967163
ensemble_conformal,4,RS,18.0,2,2.5239978528328404,2.1123679547846423
ensemble_conformal,4,SC,18.0,0,3.3459889370536025,2.7562173663923035
ensemble_conformal,4,SE,0.0,-1,-0.3289615391904913,0.36470022246357753
